,,Total,A1 Are you...?,,A2 What is your age?,,,,,,A3 What is your ethnic group?,,,,,,,,,,,A6 Which region or nation do you live in?,,,,,,,,,,,,"Q2 More specifically, what is the highest level of educational qualifications you have achieved?",,,,,,,,Q4 Thinking about the property you live in. Does your household own or rent this accommodation?,,,,,,,Q8 What is your religion?,,,,,,,,Q13 Were either of your parents born outside the United Kingdom?,,,A5 Were you born in the UK?,,"Q48 Some people say the following things are important for being ""truly British'.   Which of the following do you think is most important? Please select up to three. |",,,,,,,,,,,,"Q51.1_2: Q51.1 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Black and minority ethnic people",,,"Q51.2_2: Q51.2 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | White people",,,"Q51.3_2: Q51.3 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Poor people",,,"Q51.4_2: Q51.4 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Old people",,,"Q51.5_2: Q51.5 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Young people",,,"Q51.6_2: Q51.6 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | People on welfare benefits",,,"Q51.7_2: Q51.7 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | LGBTQ+ people",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q51.6 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | People on welfare benefits",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,0 - none at all,11%,13%,9%,7%,11%,12%,13%,10%,16%,9%,10%,9%,8%,18%,22%,9%,6%,17%,8%,7%,12%,11%,10%,22%,9%,21%,10%,14%,16%,9%,10%,12%,17%,14%,9%,7%,5%,11%,15%,13%,15%,9%,15%,8%,10%,18%,20%,17%,14%,7%,0%,10%,11%,6%,18%,9%,15%,22%,16%,9%,11%,10%,15%,9%,8%,19%,12%,10%,13%,18%,8%,16%,45%,5%,4%,16%,3%,4%,38%,3%,3%,27%,2%,3%,25%,3%,2%,43%,0%,0%,30%,4%,3%
,1,3%,4%,3%,4%,2%,3%,3%,5%,5%,3%,3%,2%,3%,8%,5%,7%,2%,2%,4%,2%,4%,3%,4%,3%,4%,3%,3%,3%,6%,3%,10%,2%,3%,2%,4%,4%,3%,5%,1%,4%,4%,3%,0%,3%,5%,1%,2%,12%,4%,4%,5%,3%,3%,1%,0%,3%,5%,2%,4%,3%,3%,4%,4%,5%,4%,5%,3%,3%,5%,7%,3%,1%,10%,3%,2%,5%,2%,1%,9%,2%,1%,8%,1%,1%,7%,1%,1%,13%,0%,0%,8%,2%,1%
,2,5%,5%,4%,4%,4%,4%,5%,6%,5%,3%,5%,5%,3%,0%,7%,5%,3%,2%,6%,10%,4%,6%,4%,6%,4%,1%,4%,3%,9%,4%,1%,7%,2%,2%,4%,4%,5%,5%,8%,5%,4%,4%,6%,5%,6%,5%,4%,6%,7%,8%,7%,3%,3%,2%,0%,4%,6%,4%,5%,4%,3%,6%,4%,5%,6%,6%,4%,5%,4%,5%,4%,1%,12%,4%,2%,6%,2%,2%,13%,3%,1%,9%,2%,2%,9%,2%,0%,18%,0%,0%,9%,4%,1%
,3,6%,8%,5%,8%,7%,6%,4%,7%,7%,8%,7%,7%,7%,4%,7%,4%,5%,7%,7%,4%,5%,5%,7%,8%,7%,2%,6%,8%,5%,6%,5%,8%,10%,6%,6%,5%,10%,8%,6%,7%,6%,7%,8%,7%,7%,5%,6%,8%,6%,6%,0%,8%,5%,6%,3%,7%,6%,8%,7%,6%,8%,6%,6%,6%,6%,9%,6%,6%,5%,6%,6%,5%,11%,8%,3%,7%,7%,3%,12%,6%,3%,10%,5%,3%,9%,5%,3%,25%,0%,0%,10%,6%,3%
,4,8%,8%,7%,11%,9%,6%,7%,5%,8%,11%,5%,9%,8%,8%,7%,4%,7%,5%,13%,4%,8%,6%,7%,6%,7%,8%,7%,4%,2%,11%,8%,10%,6%,8%,7%,8%,5%,8%,5%,8%,7%,8%,2%,7%,8%,10%,4%,6%,7%,10%,0%,9%,6%,8%,1%,8%,7%,1%,7%,8%,7%,7%,6%,8%,8%,5%,7%,8%,11%,9%,8%,6%,5%,11%,6%,8%,9%,3%,6%,11%,4%,8%,9%,3%,9%,9%,2%,0%,16%,0%,9%,9%,5%
,5,15%,15%,14%,17%,14%,12%,17%,13%,14%,13%,14%,16%,15%,8%,15%,13%,12%,19%,14%,19%,14%,17%,14%,17%,16%,6%,17%,12%,13%,14%,21%,13%,18%,16%,16%,15%,13%,11%,17%,14%,14%,17%,8%,15%,13%,6%,24%,14%,15%,12%,7%,14%,13%,20%,18%,15%,12%,22%,16%,14%,13%,16%,12%,13%,14%,13%,16%,15%,12%,10%,14%,19%,4%,23%,12%,12%,22%,11%,8%,22%,9%,10%,20%,9%,11%,19%,9%,0%,30%,0%,10%,21%,8%
,6,12%,12%,12%,15%,13%,10%,11%,12%,14%,12%,19%,11%,15%,16%,8%,10%,13%,10%,12%,12%,12%,13%,12%,8%,13%,15%,12%,17%,11%,12%,6%,12%,5%,11%,12%,15%,11%,11%,10%,12%,13%,8%,21%,14%,11%,14%,7%,13%,11%,13%,52%,12%,14%,10%,9%,13%,10%,2%,12%,12%,9%,12%,14%,12%,14%,6%,13%,13%,6%,9%,14%,11%,3%,16%,12%,12%,15%,6%,4%,18%,10%,8%,17%,7%,9%,16%,6%,0%,25%,0%,7%,15%,12%
,7,15%,14%,15%,14%,14%,18%,14%,13%,9%,16%,23%,13%,18%,14%,10%,16%,17%,13%,14%,16%,10%,15%,15%,12%,17%,12%,16%,17%,15%,16%,14%,13%,9%,14%,15%,16%,18%,17%,15%,14%,14%,14%,11%,16%,15%,21%,10%,13%,13%,14%,23%,16%,16%,16%,9%,16%,13%,8%,12%,16%,16%,16%,12%,14%,16%,12%,15%,15%,13%,12%,16%,13%,4%,15%,19%,14%,18%,14%,4%,18%,18%,8%,20%,15%,10%,18%,15%,0%,30%,0%,7%,17%,19%
,8,12%,10%,13%,10%,8%,14%,12%,18%,10%,12%,7%,12%,12%,10%,9%,17%,15%,10%,11%,17%,12%,12%,13%,11%,10%,8%,12%,9%,12%,12%,10%,15%,6%,8%,15%,13%,9%,12%,10%,12%,11%,13%,21%,12%,11%,8%,4%,5%,12%,12%,0%,11%,13%,17%,13%,12%,12%,10%,10%,13%,12%,12%,13%,13%,12%,14%,13%,13%,16%,10%,14%,9%,2%,9%,18%,10%,13%,19%,3%,10%,21%,5%,14%,21%,6%,14%,20%,0%,0%,47%,3%,12%,20%
,9,5%,4%,6%,4%,6%,5%,6%,6%,5%,6%,4%,8%,4%,4%,4%,5%,7%,4%,7%,2%,9%,7%,5%,5%,4%,5%,8%,7%,1%,5%,2%,3%,1%,8%,4%,6%,8%,5%,4%,6%,6%,5%,2%,5%,7%,6%,1%,3%,5%,8%,0%,4%,7%,7%,6%,5%,6%,6%,4%,6%,6%,5%,7%,6%,5%,4%,5%,5%,8%,6%,5%,5%,2%,3%,8%,4%,6%,16%,1%,3%,11%,3%,5%,11%,2%,6%,13%,0%,0%,21%,2%,4%,11%
,10 - a significant amount,8%,6%,10%,6%,10%,9%,8%,6%,5%,7%,3%,8%,7%,10%,7%,10%,13%,11%,5%,7%,11%,6%,8%,1%,10%,19%,7%,5%,10%,8%,13%,6%,23%,11%,8%,8%,14%,6%,8%,6%,6%,12%,5%,7%,6%,8%,19%,4%,7%,6%,6%,8%,9%,7%,23%,8%,8%,16%,6%,9%,10%,6%,5%,7%,7%,8%,7%,7%,6%,9%,8%,15%,2%,2%,14%,7%,5%,22%,2%,3%,19%,4%,5%,24%,3%,6%,28%,0%,0%,32%,4%,4%,18%
,NET 0 - 3,25%,30%,22%,23%,25%,25%,25%,28%,34%,24%,24%,24%,21%,30%,40%,24%,17%,28%,25%,23%,25%,24%,26%,39%,24%,28%,22%,28%,35%,22%,27%,28%,32%,24%,23%,19%,23%,30%,30%,28%,29%,22%,29%,23%,28%,28%,32%,42%,31%,24%,12%,24%,22%,15%,21%,23%,31%,35%,32%,23%,25%,25%,29%,26%,24%,38%,25%,24%,28%,36%,21%,23%,78%,20%,11%,34%,13%,9%,72%,15%,8%,53%,10%,9%,50%,12%,6%,100%,0%,0%,58%,16%,9%
,NET 4-7,49%,49%,49%,57%,50%,47%,48%,43%,45%,51%,62%,49%,56%,46%,40%,43%,49%,46%,52%,51%,43%,51%,48%,43%,53%,40%,51%,51%,41%,53%,48%,48%,37%,49%,50%,54%,47%,47%,47%,48%,48%,48%,43%,52%,47%,51%,44%,46%,45%,50%,82%,52%,49%,54%,37%,52%,42%,33%,47%,49%,46%,51%,45%,48%,52%,36%,50%,50%,42%,40%,53%,48%,16%,65%,48%,45%,64%,34%,22%,69%,41%,35%,65%,34%,39%,62%,32%,0%,100%,0%,33%,63%,43%
,NET 8 - 10,25%,21%,29%,20%,24%,28%,26%,29%,21%,25%,14%,28%,24%,24%,20%,32%,35%,26%,23%,26%,32%,25%,26%,18%,24%,31%,26%,21%,24%,25%,25%,24%,30%,27%,27%,27%,31%,24%,22%,24%,23%,30%,28%,25%,25%,21%,24%,12%,24%,26%,6%,24%,29%,31%,42%,25%,27%,32%,20%,28%,29%,23%,26%,26%,24%,26%,25%,25%,30%,25%,27%,28%,6%,15%,40%,21%,23%,57%,7%,16%,51%,12%,25%,56%,11%,26%,61%,0%,0%,100%,9%,21%,48%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q51.7 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | LGBTQ+ people",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,0 - none at all,12%,15%,9%,11%,11%,11%,13%,13%,15%,17%,8%,9%,14%,18%,18%,12%,6%,17%,7%,5%,12%,12%,11%,20%,12%,19%,12%,18%,21%,10%,11%,12%,16%,15%,10%,9%,17%,15%,15%,11%,14%,10%,23%,9%,12%,21%,27%,13%,12%,7%,0%,14%,12%,7%,22%,10%,15%,19%,14%,11%,13%,11%,11%,11%,9%,20%,11%,11%,16%,13%,10%,17%,42%,7%,5%,15%,6%,8%,33%,6%,6%,24%,4%,8%,24%,4%,6%,32%,5%,4%,44%,0%,0%
,1,4%,5%,3%,2%,4%,4%,3%,6%,3%,5%,4%,3%,3%,9%,6%,4%,2%,2%,5%,2%,2%,5%,4%,5%,4%,0%,3%,2%,6%,4%,1%,5%,3%,4%,4%,3%,2%,3%,5%,5%,3%,4%,7%,4%,5%,2%,0%,10%,5%,3%,0%,4%,3%,1%,1%,3%,5%,2%,4%,4%,4%,4%,3%,6%,4%,5%,4%,5%,4%,6%,5%,2%,11%,3%,2%,5%,2%,2%,9%,3%,2%,7%,1%,4%,8%,1%,2%,9%,2%,1%,14%,0%,0%
,2,6%,6%,5%,6%,5%,4%,8%,4%,6%,4%,7%,6%,6%,5%,5%,8%,4%,2%,8%,8%,6%,5%,6%,3%,6%,1%,5%,6%,3%,6%,2%,6%,5%,5%,7%,6%,6%,4%,5%,5%,5%,6%,3%,6%,6%,6%,3%,14%,6%,7%,0%,6%,3%,6%,1%,5%,7%,2%,6%,5%,5%,6%,8%,7%,5%,7%,5%,7%,9%,7%,5%,3%,12%,6%,3%,7%,4%,2%,12%,4%,4%,9%,4%,3%,10%,3%,2%,11%,5%,2%,20%,0%,0%
,3,6%,6%,6%,6%,6%,6%,6%,5%,4%,6%,2%,5%,6%,8%,5%,4%,5%,8%,10%,9%,5%,6%,6%,6%,6%,2%,3%,5%,5%,7%,7%,7%,9%,5%,6%,6%,3%,8%,4%,6%,6%,6%,11%,5%,7%,7%,6%,17%,5%,5%,5%,7%,5%,2%,4%,6%,7%,4%,7%,5%,4%,7%,5%,5%,7%,5%,6%,6%,7%,7%,7%,3%,10%,8%,3%,7%,5%,4%,11%,6%,3%,8%,5%,3%,7%,6%,3%,9%,6%,3%,22%,0%,0%
,4,6%,6%,6%,8%,7%,6%,5%,7%,4%,7%,5%,7%,7%,4%,5%,4%,6%,6%,8%,9%,7%,6%,8%,4%,4%,2%,7%,6%,5%,6%,1%,5%,4%,7%,6%,5%,7%,6%,7%,7%,7%,5%,4%,6%,6%,3%,5%,7%,5%,6%,7%,7%,6%,8%,3%,7%,4%,7%,7%,6%,7%,7%,4%,6%,7%,5%,6%,5%,7%,8%,5%,4%,5%,9%,5%,7%,6%,2%,7%,7%,4%,6%,7%,5%,7%,7%,3%,7%,7%,3%,0%,14%,0%
,5,15%,14%,16%,12%,16%,15%,15%,18%,12%,13%,22%,13%,16%,9%,17%,12%,14%,19%,15%,15%,14%,18%,15%,18%,16%,15%,15%,12%,12%,13%,13%,19%,17%,20%,14%,12%,12%,14%,16%,16%,18%,15%,11%,14%,14%,8%,13%,7%,16%,14%,22%,15%,12%,14%,22%,16%,12%,16%,15%,15%,12%,15%,13%,14%,16%,14%,15%,16%,14%,14%,14%,17%,6%,23%,12%,13%,22%,9%,9%,22%,10%,12%,20%,8%,12%,20%,9%,9%,21%,10%,0%,34%,0%
,6,11%,9%,12%,12%,11%,9%,13%,7%,13%,11%,13%,11%,12%,13%,8%,11%,9%,7%,14%,13%,14%,7%,10%,7%,13%,12%,12%,9%,12%,11%,21%,8%,9%,8%,13%,12%,4%,12%,11%,11%,12%,11%,2%,13%,8%,6%,9%,10%,10%,17%,6%,10%,12%,10%,4%,11%,10%,6%,11%,11%,11%,11%,11%,12%,11%,8%,12%,10%,7%,6%,12%,10%,3%,15%,10%,10%,14%,7%,5%,15%,9%,9%,13%,8%,8%,14%,8%,7%,14%,9%,0%,24%,0%
,7,12%,12%,12%,13%,12%,13%,12%,13%,13%,11%,12%,14%,12%,3%,12%,13%,15%,11%,11%,15%,11%,11%,12%,11%,13%,13%,16%,21%,15%,11%,1%,12%,5%,10%,10%,14%,12%,12%,11%,14%,12%,12%,15%,13%,12%,12%,10%,4%,11%,14%,40%,12%,15%,13%,3%,13%,11%,9%,12%,12%,13%,13%,14%,13%,14%,9%,14%,13%,7%,9%,12%,10%,3%,14%,14%,12%,13%,14%,5%,15%,14%,9%,15%,12%,9%,15%,12%,6%,15%,14%,0%,28%,0%
,8,12%,12%,12%,12%,11%,14%,11%,12%,14%,8%,17%,13%,11%,9%,9%,17%,16%,10%,11%,7%,8%,16%,12%,16%,12%,13%,12%,8%,6%,13%,18%,12%,7%,11%,13%,13%,15%,14%,10%,12%,10%,13%,10%,13%,14%,15%,6%,10%,14%,10%,13%,9%,15%,19%,16%,13%,12%,10%,11%,13%,14%,13%,16%,12%,14%,11%,11%,13%,10%,9%,12%,11%,2%,10%,17%,10%,16%,18%,4%,13%,17%,6%,15%,16%,7%,14%,18%,3%,14%,18%,0%,0%,43%
,9,6%,5%,7%,5%,6%,7%,4%,8%,6%,3%,5%,7%,5%,7%,4%,6%,7%,5%,6%,10%,7%,4%,6%,2%,5%,7%,8%,5%,1%,7%,9%,6%,2%,6%,5%,8%,6%,4%,2%,7%,4%,5%,7%,7%,7%,8%,3%,6%,6%,9%,8%,5%,7%,9%,1%,5%,7%,6%,3%,8%,6%,6%,7%,5%,5%,4%,5%,6%,9%,9%,8%,5%,2%,2%,10%,6%,5%,12%,2%,4%,11%,3%,6%,12%,3%,6%,12%,1%,5%,12%,0%,0%,21%
,10 - a significant amount,10%,9%,12%,11%,12%,12%,9%,6%,10%,14%,4%,11%,9%,15%,10%,9%,15%,12%,5%,8%,14%,9%,10%,6%,10%,17%,7%,8%,13%,12%,15%,8%,24%,10%,11%,11%,16%,8%,14%,7%,9%,13%,6%,9%,9%,15%,19%,3%,10%,8%,0%,10%,11%,11%,23%,10%,10%,20%,8%,10%,11%,8%,7%,9%,8%,12%,9%,9%,9%,11%,9%,18%,4%,3%,18%,9%,8%,22%,5%,6%,20%,7%,9%,21%,5%,10%,24%,5%,6%,24%,0%,0%,36%
,NET 0 - 3,27%,32%,23%,26%,26%,26%,31%,29%,27%,32%,21%,24%,28%,39%,34%,29%,17%,29%,30%,23%,25%,28%,27%,35%,28%,22%,23%,32%,35%,26%,21%,31%,34%,29%,28%,24%,28%,30%,29%,27%,28%,26%,44%,24%,29%,35%,36%,54%,28%,22%,5%,31%,23%,16%,28%,24%,35%,26%,31%,25%,26%,28%,27%,29%,25%,37%,27%,28%,37%,33%,27%,26%,75%,24%,13%,34%,17%,16%,64%,18%,14%,48%,15%,18%,48%,15%,13%,62%,19%,10%,100%,0%,0%
,NET 4-7,44%,42%,46%,45%,45%,42%,44%,45%,42%,42%,52%,45%,46%,29%,42%,40%,44%,43%,48%,52%,46%,43%,44%,41%,46%,41%,51%,48%,44%,42%,36%,43%,34%,45%,42%,44%,35%,44%,44%,47%,49%,43%,32%,46%,41%,28%,36%,28%,42%,51%,74%,45%,44%,45%,32%,47%,37%,38%,46%,44%,43%,46%,43%,45%,48%,36%,48%,44%,35%,37%,43%,41%,17%,61%,41%,42%,55%,32%,26%,59%,37%,36%,55%,33%,36%,55%,32%,29%,57%,36%,0%,100%,0%
,NET 8 - 10,28%,26%,31%,29%,29%,32%,25%,26%,30%,25%,27%,32%,25%,31%,24%,31%,39%,28%,23%,25%,29%,29%,29%,25%,26%,37%,26%,21%,21%,32%,43%,26%,32%,27%,29%,32%,37%,25%,26%,27%,24%,31%,24%,30%,30%,37%,28%,18%,30%,27%,21%,24%,33%,39%,40%,28%,28%,36%,23%,31%,31%,27%,30%,27%,28%,27%,26%,28%,28%,29%,30%,33%,8%,15%,46%,25%,28%,53%,10%,23%,48%,16%,31%,49%,16%,31%,54%,10%,25%,54%,0%,0%,100%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q52.1 To what extent do you agree or disagree with the following statements? | Race relations in the UK are generally bad,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,Strongly disagree,7%,8%,6%,8%,5%,7%,7%,8%,8%,9%,7%,5%,9%,10%,7%,5%,7%,6%,5%,9%,7%,8%,6%,8%,7%,4%,8%,11%,7%,7%,0%,7%,7%,3%,6%,7%,7%,8%,5%,8%,7%,5%,9%,7%,9%,9%,3%,13%,6%,6%,11%,7%,8%,5%,8%,7%,7%,1%,8%,7%,6%,9%,7%,8%,7%,5%,7%,7%,9%,8%,7%,4%,10%,8%,5%,7%,5%,9%,10%,6%,5%,11%,4%,7%,9%,5%,6%,10%,6%,6%,10%,5%,6%
,Somewhat disagree,17%,18%,15%,19%,18%,17%,15%,17%,15%,16%,24%,16%,19%,20%,16%,12%,16%,14%,19%,19%,14%,18%,16%,21%,17%,19%,23%,13%,25%,17%,14%,13%,10%,15%,17%,18%,26%,15%,21%,16%,16%,14%,17%,20%,16%,14%,15%,16%,15%,20%,5%,18%,18%,16%,14%,17%,18%,14%,17%,17%,16%,20%,17%,19%,20%,18%,17%,18%,17%,16%,20%,6%,19%,20%,14%,16%,21%,10%,20%,18%,14%,17%,19%,11%,19%,16%,14%,20%,18%,13%,18%,19%,13%
,Neither agree nor disagree,29%,29%,29%,30%,29%,30%,30%,24%,31%,34%,35%,31%,28%,30%,27%,21%,26%,33%,31%,23%,31%,29%,31%,23%,28%,27%,27%,39%,11%,28%,26%,30%,36%,28%,31%,27%,29%,31%,28%,28%,31%,29%,32%,27%,31%,26%,26%,34%,27%,29%,38%,30%,28%,31%,23%,30%,27%,26%,31%,28%,28%,28%,27%,28%,30%,30%,30%,29%,25%,30%,27%,28%,31%,35%,23%,28%,33%,23%,30%,32%,23%,29%,31%,22%,29%,32%,21%,31%,32%,22%,29%,32%,24%
,Somewhat agree,30%,28%,32%,25%,29%,30%,32%,36%,29%,24%,26%,30%,29%,22%,29%,38%,38%,25%,29%,31%,26%,33%,30%,30%,29%,32%,30%,25%,38%,29%,35%,32%,12%,32%,30%,30%,29%,33%,27%,31%,28%,33%,30%,31%,30%,29%,12%,27%,34%,30%,40%,27%,31%,36%,17%,30%,31%,22%,27%,31%,33%,29%,33%,31%,29%,28%,31%,31%,27%,29%,31%,28%,22%,25%,37%,31%,28%,32%,23%,31%,34%,27%,31%,34%,27%,32%,32%,22%,31%,35%,23%,31%,35%
,Strongly agree,12%,12%,13%,10%,14%,12%,12%,11%,15%,11%,4%,12%,11%,11%,16%,21%,11%,9%,12%,16%,12%,9%,13%,10%,13%,14%,8%,7%,11%,14%,18%,13%,23%,14%,10%,11%,7%,10%,11%,13%,11%,15%,7%,11%,11%,15%,11%,4%,14%,10%,6%,12%,10%,10%,22%,12%,13%,6%,10%,13%,14%,11%,14%,11%,10%,15%,11%,11%,17%,13%,12%,16%,10%,7%,17%,12%,8%,20%,10%,9%,19%,11%,10%,20%,11%,10%,22%,10%,10%,19%,13%,9%,17%
,NET disagree,24%,26%,21%,27%,22%,24%,22%,25%,23%,25%,31%,22%,28%,30%,24%,17%,22%,20%,24%,28%,22%,26%,22%,29%,24%,22%,31%,24%,31%,23%,14%,21%,17%,18%,23%,25%,33%,23%,27%,24%,23%,19%,26%,27%,25%,23%,18%,29%,21%,25%,16%,25%,25%,21%,22%,23%,25%,15%,25%,23%,22%,29%,24%,26%,27%,23%,24%,26%,26%,24%,27%,10%,29%,28%,19%,23%,27%,19%,30%,24%,19%,27%,23%,18%,28%,21%,20%,30%,23%,19%,29%,24%,19%
,NET agree,42%,40%,44%,34%,43%,42%,45%,47%,44%,35%,30%,42%,40%,32%,45%,59%,49%,34%,41%,46%,38%,42%,43%,40%,42%,46%,39%,32%,49%,43%,54%,45%,34%,46%,40%,41%,36%,43%,38%,44%,39%,48%,37%,42%,41%,44%,23%,31%,48%,40%,46%,39%,41%,45%,39%,42%,44%,28%,38%,44%,47%,40%,46%,42%,39%,43%,42%,42%,45%,42%,43%,44%,31%,32%,54%,43%,37%,52%,33%,40%,53%,38%,41%,54%,38%,42%,54%,33%,41%,54%,36%,40%,52%
,Don't know,5%,4%,6%,9%,5%,5%,4%,4%,2%,6%,4%,6%,5%,8%,4%,3%,3%,13%,3%,2%,10%,3%,4%,8%,6%,4%,4%,4%,9%,6%,6%,4%,12%,8%,6%,6%,2%,3%,7%,3%,7%,5%,6%,4%,3%,7%,33%,6%,4%,5%,0%,6%,5%,2%,17%,5%,4%,30%,6%,5%,4%,3%,3%,4%,4%,4%,4%,3%,4%,4%,3%,18%,8%,5%,4%,6%,4%,5%,8%,4%,5%,6%,5%,5%,6%,5%,5%,7%,4%,6%,7%,5%,4%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
